metric,n_hop,step,mean,std,count
answer_f1,2,0,0.40688992488992487,0.4431253915399978,1200
answer_f1,2,1,0.24073483459497566,0.37986688764763044,1200
answer_f1,2,2,0.203623652826855,0.3579489687372491,1200
answer_f1,2,3,0.18767360803011204,0.34838201486435444,1200
answer_f1,3,0,0.3765175235980053,0.41835564575769374,1164
answer_f1,3,1,0.23055902392995956,0.3700154025537346,1164
answer_f1,3,2,0.21127802529213102,0.3565331678388485,1164
answer_f1,3,3,0.1928572437065191,0.3443638673071439,1164
answer_f1,4,0,0.3031784936196701,0.4050450955767517,1200
answer_f1,4,1,0.17515414815744293,0.32916096427756464,1200
answer_f1,4,2,0.15724523932796114,0.3156783824565746,1200
answer_f1,4,3,0.1504369967440201,0.31104649940137924,1200
openfactscore,2,1,0.875159384482379,0.12482407766084584,1200
openfactscore,2,2,0.859011439961017,0.13621667241012633,1200
openfactscore,2,3,0.848663375732897,0.1411121473013365,1200
openfactscore,3,1,0.8733628295925494,0.10612430181430682,1164
openfactscore,3,2,0.8606924454048922,0.11399251314042474,1164
openfactscore,3,3,0.8528018826137085,0.11784391144056656,1164
openfactscore,4,1,0.8417959416131601,0.13160467060488346,1200
openfactscore,4,2,0.8262820108010447,0.1377598546281756,1200
openfactscore,4,3,0.8129518944179283,0.14275798168749007,1200
