qid,instruction_type,run,first_hit_step,duration,event_observed,n_hop
2hop__14092_8311,elaborate,0,3,1,0,2
2hop__14095_15463,elaborate,0,3,1,0,2
2hop__14095_15463,formality,0,1,1,1,2
2hop__14095_15463,paraphrase,0,3,1,0,2
2hop__141456_6455,elaborate,0,1,3,0,2
2hop__141456_6455,elaborate,1,1,3,0,2
2hop__141456_6455,elaborate,2,1,2,1,2
2hop__141456_6455,formality,0,1,1,1,2
2hop__141456_6455,formality,1,2,1,1,2
2hop__141456_6455,formality,2,1,2,1,2
2hop__141456_6455,paraphrase,0,1,2,1,2
2hop__141456_6455,paraphrase,1,1,3,0,2
2hop__141456_6455,paraphrase,2,1,1,1,2
2hop__141456_6455,shorten,0,1,3,0,2
2hop__141456_6455,shorten,1,1,3,0,2
2hop__144658_599630,elaborate,1,1,1,1,2
2hop__144658_599630,elaborate,2,1,3,0,2
2hop__144658_599630,paraphrase,0,1,3,0,2
2hop__144658_599630,paraphrase,1,1,2,1,2
2hop__159903_419949,formality,0,2,2,0,2
2hop__170914_152093,elaborate,0,2,1,1,2
2hop__242045_2684,elaborate,0,1,1,1,2
2hop__242045_2684,elaborate,2,1,1,1,2
2hop__29893_29898,elaborate,2,1,1,1,2
2hop__398344_85513,shorten,2,1,1,1,2
2hop__403580_37168,paraphrase,0,1,2,1,2
2hop__403580_37168,paraphrase,1,2,1,1,2
2hop__43283_86694,elaborate,0,3,1,0,2
2hop__43283_86694,paraphrase,0,2,2,0,2
2hop__442516_595885,elaborate,1,1,1,1,2
2hop__442516_595885,elaborate,2,1,1,1,2
2hop__442516_595885,shorten,1,2,2,0,2
2hop__442516_595885,shorten,2,1,3,0,2
2hop__47712_25719,elaborate,1,1,2,1,2
2hop__47712_25719,paraphrase,2,1,3,0,2
2hop__47712_25719,shorten,0,1,2,1,2
2hop__575797_91104,elaborate,0,1,3,0,2
2hop__575797_91104,elaborate,1,2,2,0,2
2hop__575797_91104,elaborate,2,1,3,0,2
2hop__575797_91104,formality,0,1,3,0,2
2hop__575797_91104,formality,1,1,3,0,2
2hop__575797_91104,formality,2,1,3,0,2
2hop__575797_91104,paraphrase,0,1,3,0,2
2hop__575797_91104,paraphrase,1,1,3,0,2
2hop__575797_91104,shorten,0,1,3,0,2
2hop__575797_91104,shorten,2,1,3,0,2
2hop__58168_38663,formality,1,3,1,0,2
2hop__632870_22402,shorten,2,1,1,1,2
2hop__681463_402641,elaborate,0,1,1,1,2
2hop__681463_402641,formality,1,2,1,1,2
2hop__691455_64006,elaborate,0,1,2,1,2
2hop__691455_64006,elaborate,1,1,3,0,2
2hop__691455_64006,elaborate,2,3,1,0,2
2hop__691455_64006,formality,0,1,1,1,2
2hop__691455_64006,paraphrase,2,1,1,1,2
2hop__711639_110949,elaborate,0,3,1,0,2
2hop__711639_110949,paraphrase,0,2,2,0,2
2hop__711639_110949,paraphrase,1,1,3,0,2
2hop__75207_46837,shorten,0,1,1,1,2
2hop__82910_75184,elaborate,1,1,2,1,2
2hop__82910_75184,formality,1,3,1,0,2
