model,term,coef,std_err,z,p
BS_base_LMM_step_x_hop,Intercept,0.8891311724980667,0.005481309579266011,162.21144958886416,0.0
BS_base_LMM_step_x_hop,C(step)[T.2],-0.013365700840949487,0.00583145598766311,-2.2920006374438295,0.021905606394779356
BS_base_LMM_step_x_hop,C(step)[T.3],-0.021443417668342048,0.0058314559876631086,-3.6771978925515754,0.00023581010023127237
BS_base_LMM_step_x_hop,C(n_hop)[T.3],-0.008962339162825437,0.007751742346563557,-1.156170930629364,0.2476112476196518
BS_base_LMM_step_x_hop,C(n_hop)[T.4],-0.00044505596160774805,0.007751742346563557,-0.05741366801297863,0.9542156754623026
BS_base_LMM_step_x_hop,C(step)[T.2]:C(n_hop)[T.3],-0.0012253781159723876,0.008246924146134963,-0.14858607818609296,0.8818802590533193
BS_base_LMM_step_x_hop,C(step)[T.3]:C(n_hop)[T.3],0.0006564110517496492,0.008246924146134961,0.07959465130490932,0.9365596493614557
BS_base_LMM_step_x_hop,C(step)[T.2]:C(n_hop)[T.4],-0.0051314363876983305,0.008246924146134961,-0.622224273774029,0.5337944069123287
BS_base_LMM_step_x_hop,C(step)[T.3]:C(n_hop)[T.4],-0.003942363460859167,0.008246924146134961,-0.4780404658756091,0.6326214038684785
BS_base_LMM_step_x_hop,Group Var,0.06391941454325434,0.03786545789831071,1.6880665939630952,0.09139844621969302
